subset_key,timestamp,rides,season,year_index,month,hour,holiday,weekday,workingday,weather_situation,temp,atemp,humidity,windspeed
spring,2011-01-01 00:00:00,16,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0
spring,2011-01-01 01:00:00,40,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0
spring,2011-01-01 02:00:00,32,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0
spring,2011-01-01 03:00:00,13,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0
spring,2011-01-01 04:00:00,1,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0
spring,2011-01-01 05:00:00,1,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896
spring,2011-01-01 06:00:00,2,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0
spring,2011-01-01 07:00:00,3,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0
spring,2011-01-01 08:00:00,8,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0
spring,2011-01-01 09:00:00,14,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0
spring,2011-01-01 10:00:00,36,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537
spring,2011-01-01 11:00:00,56,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836
spring,2011-01-01 12:00:00,84,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836
spring,2011-01-01 13:00:00,94,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985
spring,2011-01-01 14:00:00,106,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836
spring,2011-01-01 15:00:00,110,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985
spring,2011-01-01 16:00:00,93,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985
spring,2011-01-01 17:00:00,67,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836
spring,2011-01-01 18:00:00,35,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537
spring,2011-01-01 19:00:00,37,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537
spring,2011-01-01 20:00:00,36,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537
spring,2011-01-01 21:00:00,34,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194
