subset_key,row_id,label,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
0_9,0,452600.0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252
9_9,1,358500.0,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014
0_9,2,352100.0,-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574
1_8,3,341300.0,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431
2_5,4,342200.0,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462
1_6,5,269700.0,-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368
6_5,6,299200.0,-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591
7_3,7,241400.0,-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12
7_1,8,226700.0,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804
8_5,9,261100.0,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912
4_4,10,281500.0,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031
8_4,11,241800.0,-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705
5_3,12,213500.0,-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075
0_2,13,191300.0,-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736
7_1,14,159200.0,-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167
2_1,15,140000.0,-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125
3_3,16,152500.0,-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775
2_1,17,155500.0,-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202
5_1,18,158700.0,-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911
2_2,19,162900.0,-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033
0_0,20,147500.0,-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578
4_0,21,159800.0,-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135
6_0,22,113900.0,-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725
3_1,23,99700.0,-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806
5_2,24,132600.0,-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6
0_2,25,107500.0,-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038
1_2,26,93800.0,-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597
4_0,27,105500.0,-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808
6_0,28,108900.0,-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424
0_0,29,132000.0,-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875
4_1,30,122300.0,-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274
5_1,31,115200.0,-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615
3_0,32,110400.0,-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969
3_0,33,104900.0,-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375
6_2,34,109700.0,-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303
2_0,35,97200.0,-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861
4_0,36,104500.0,-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972
4_0,37,103900.0,-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103
3_4,38,191400.0,-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48
8_2,39,176000.0,-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898
4_1,40,155400.0,-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978
1_0,41,150000.0,-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852
1_0,42,118800.0,-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025
1_5,43,188800.0,-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643
2_3,44,184400.0,-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125
4_2,45,182300.0,-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768
2_1,46,142500.0,-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026
1_0,47,137500.0,-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348
0_0,48,187500.0,-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506
3_0,49,112500.0,-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775
5_0,50,171900.0,-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218
4_0,51,93800.0,-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045
8_0,52,97500.0,-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108
4_0,53,104200.0,-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475
1_0,54,87500.0,-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098
1_0,55,83100.0,-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113
2_0,56,87500.0,-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057
1_0,57,85300.0,-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172
2_0,58,80300.0,-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171
0_2,59,60000.0,-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625
1_4,60,75700.0,-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929
0_8,61,75000.0,-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183
0_0,62,86100.0,-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011
0_0,63,76100.0,-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191
0_2,64,73500.0,-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938
1_0,65,78400.0,-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667
3_0,66,84400.0,-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056
0_2,67,81300.0,-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094
0_0,68,85000.0,-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516
7_0,69,129200.0,-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802
0_0,70,82500.0,-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719
2_0,71,95200.0,-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286
0_0,72,75000.0,-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75
0_0,73,67500.0,-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999
